Rank,Game Name,Publish Year,Platform ID,Genre ID,Publisher ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales
143,Metal Gear Solid 2: Sons of Liberty,1/1/2001,17,1,382,2.45,2.01,0.87,0.72
144,Sonic the Hedgehog 2,1/1/1992,9,5,553,4.47,1.2,0.16,0.19
145,Metal Gear Solid 4: Guns of the Patriots,1/1/2008,18,1,382,2.63,1.74,0.83,0.83
146,Metal Gear Solid,1/1/1998,16,1,382,3.18,1.83,0.78,0.24
147,The Last of Us,1/1/2013,18,1,567,2.41,2.28,0.28,1.01
148,Final Fantasy XII,1/1/2006,17,8,575,1.88,0,2.33,1.74
149,LittleBigPlanet,1/1/2008,18,5,565,2.8,2.05,0.17,0.9
150,Dragon Quest IX: Sentinels of the Starry Skies,1/1/2009,5,8,469,0.66,0.69,4.35,0.15
151,LEGO Star Wars: The Complete Saga,1/1/2007,26,1,396,3.66,1.63,0,0.53
152,Resident Evil 2,1/1/1998,16,1,653,1.88,1.47,2.02,0.45
153,Tekken 2,1/1/1996,16,3,565,2.26,1.89,1.36,0.23
154,Cooking Mama,1/1/2006,5,10,107,3.13,1.94,0.07,0.58
155,Destiny,1/1/2014,19,9,117,2.49,2.05,0.16,0.96
156,Tetris,1/1/1988,12,6,469,2.97,0.69,1.81,0.11
157,Assassin's Creed II,1/1/2009,18,1,633,2.54,1.95,0.21,0.87
158,Super Smash Bros.,1/1/1999,11,3,469,2.95,0.6,1.97,0.04
159,Assassin's Creed,1/1/2007,29,2,633,3.28,1.65,0.07,0.55
160,Batman: Arkham City,1/1/2011,18,1,660,2.7,1.91,0.11,0.8
161,Forza Motorsport 3,1/1/2009,29,7,428,2.99,1.92,0.1,0.51
162,Monster Hunter Freedom Unite,1/1/2008,20,8,182,0.47,0.57,4.13,0.34
163,Super Mario Advance,1/1/2001,7,5,469,3.14,1.24,0.91,0.2
164,Mario Kart: Super Circuit,1/1/2001,7,7,469,2.62,1.64,0.99,0.23
165,Super Mario World,1/1/2001,7,5,469,3.21,1.11,0.95,0.2
166,Pokemon Stadium,1/1/1999,11,12,469,3.18,1.24,0.94,0.09
167,Call of Duty: World at War,1/1/2008,18,9,117,2.72,1.87,0,0.84
168,Crash Bandicoot: The Wrath of Cortex,1/1/2001,17,5,640,2.07,2.29,0.24,0.82
169,Minecraft,1/1/2014,18,4,565,1.97,2.51,0,0.94
170,Final Fantasy XIII,1/1/2009,18,8,575,1.74,1.24,1.87,0.52
171,Dr. Mario,1/1/1989,6,6,469,2.18,0.96,2,0.2
172,Pokemon Pinball,1/1/1999,6,4,469,3.02,1.12,1.01,0.16
173,Assassin's Creed III,1/1/2012,29,1,633,3.13,1.71,0.03,0.44
174,Final Fantasy IX,1/1/2000,16,8,576,1.62,0.77,2.78,0.14
175,Final Fantasy X-2,1/1/2003,17,8,239,1.92,1.08,2.11,0.17
176,Donkey Kong 64,1/1/1999,11,5,469,3.33,0.79,1.09,0.06
177,Assassin's Creed II,1/1/2009,29,1,633,3.1,1.56,0.08,0.51
178,Professor Layton and the Curious Village,1/1/2007,5,6,469,1.22,2.48,1.03,0.52
179,Tomb Raider II,1/1/1997,16,1,238,2.3,2.46,0.2,0.28
180,Madden NFL 2004,,17,11,239,4.26,0.26,0.01,0.71
181,Dragon Quest VIII: Journey of the Cursed King,1/1/2004,17,8,575,0.65,0.75,3.61,0.2
182,Diablo III,1/1/2012,14,8,117,2.43,2.15,0,0.62
183,Super Mario Bros. 3,1/1/2003,7,5,469,2.93,1.25,0.83,0.2
184,New Super Mario Bros. U,1/1/2012,27,5,469,2.32,1.3,1.27,0.31
185,Super Mario Land 3: Wario Land,1/1/1994,6,5,469,2.49,0.98,1.57,0.15
186,FIFA Soccer 13,1/1/2012,29,1,239,1.08,3.48,0.03,0.58
187,The Legend of Zelda: Phantom Hourglass,1/1/2007,5,1,469,1.9,1.83,0.95,0.49
188,Donkey Kong Country 2: Diddy's Kong Quest,1/1/1995,24,5,469,2.1,0.74,2.2,0.11
189,Tomodachi Life,1/1/2013,3,10,469,0.96,2.02,1.89,0.28
190,Mario & Sonic at the Olympic Games,1/1/2008,5,11,553,1.64,2.48,0.44,0.58
191,Medal of Honor: Rising Sun,1/1/2003,17,9,239,1.98,2.23,0.13,0.8
192,Kirby's Dream Land,1/1/1992,6,5,469,2.71,0.61,1.7,0.11
193,Fable III,1/1/2010,29,8,428,3.59,1.11,0.05,0.38
194,Call of Duty: Advanced Warfare,1/1/2014,31,9,117,3.21,1.53,0.01,0.38
195,Microsoft Flight Simulator,1/1/1996,14,10,428,3.22,1.69,0,0.2
196,Guitar Hero II,1/1/2006,17,4,535,3.81,0.63,0,0.68
197,Resident Evil 5,1/1/2009,18,1,182,1.96,1.43,1.08,0.65
198,Grand Theft Auto V,1/1/2014,31,1,599,2.66,2.01,0,0.41
199,Grand Theft Auto: Vice City Stories,1/1/2006,20,1,599,1.7,2.02,0.16,1.21
200,FIFA Soccer 11,1/1/2010,18,11,239,0.6,3.29,0.06,1.13
201,Super Mario Bros.,1/1/1999,6,5,469,3.4,1.3,0.15,0.22
202,Resident Evil,1/1/1996,16,1,653,2.05,1.16,1.11,0.73
203,Tony Hawk's Pro Skater,1/1/1999,16,11,117,3.42,1.38,0.02,0.2
204,Super Smash Bros. for Wii U and 3DS,1/1/2014,27,3,469,2.59,1.06,0.8,0.57
205,Warzone 2100,1/1/1999,16,12,238,2.79,1.89,0,0.33
206,Spyro the Dragon,1/1/1998,16,5,565,3.36,1.36,0.07,0.21
207,Link's Crossbow Training,1/1/2007,26,9,469,3.06,1.18,0.29,0.46
208,Guitar Hero III: Legends of Rock,1/1/2007,17,4,117,3.49,0.01,0.01,1.48
209,Fallout 3,1/1/2008,29,8,165,3.39,1.03,0.09,0.44
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1/1/2007,5,8,469,1.85,1.2,1.54,0.37
211,Uncharted: Drake's Fortune,1/1/2007,18,1,565,2.31,1.73,0.12,0.78
212,Madden NFL 06,1/1/2005,17,11,239,3.98,0.26,0.01,0.66
213,LEGO Star Wars: The Complete Saga,1/1/2007,5,1,396,2.89,1.54,0,0.46
214,Diddy Kong Racing,1/1/1997,11,7,469,2.91,0.99,0.89,0.1
215,Monster Hunter Freedom 3,1/1/2010,20,8,182,0,0,4.87,0
216,Dr. Mario,1/1/1990,12,6,469,2.62,0.6,1.52,0.1
217,God of War III,1/1/2010,18,1,565,2.74,1.36,0.12,0.63
218,StarCraft II: Wings of Liberty,1/1/2010,14,12,117,2.56,1.68,0,0.59
219,Assassin's Creed,1/1/2007,18,2,633,1.91,2,0.09,0.83
220,FIFA 15,1/1/2014,18,11,239,0.57,3.14,0.04,1.07
221,Crash Team Racing,1/1/1999,16,7,565,2.57,1.57,0.44,0.21
222,FIFA 17,1/1/2016,19,11,239,0.28,3.75,0.06,0.69
223,Batman: Arkham City,1/1/2011,29,1,660,2.99,1.31,0.04,0.41
224,Driver 2,1/1/2000,16,1,154,2.36,2.1,0.02,0.25
225,The Simpsons: Hit & Run,1/1/2003,17,7,656,1.73,2.19,0,0.79
226,Tony Hawk's Pro Skater 2,1/1/2000,16,11,117,3.05,1.41,0.02,0.2
227,Animal Crossing: City Folk,1/1/2008,26,10,469,1.87,1.12,1.32,0.37
228,The Lord of the Rings: The Two Towers,1/1/2002,17,1,239,1.94,1.95,0.08,0.7
229,Forza Motorsport 4,1/1/2011,29,7,428,2.08,2.04,0.06,0.47
230,Tomb Raider,1/1/1996,16,1,238,2.29,1.97,0.13,0.24
231,Guitar Hero III: Legends of Rock,1/1/2007,26,4,117,3.06,1.12,0,0.44
232,The Legend of Zelda: A Link to the Past,1/1/1991,24,1,469,2.42,0.91,1.15,0.13
233,The Legend of Zelda: The Wind Waker,1/1/2002,8,1,469,2.6,0.99,0.89,0.13
234,Mario & Sonic at the Olympic Winter Games,1/1/2009,26,11,553,1.89,1.99,0.22,0.48
235,Luigi's Mansion: Dark Moon,1/1/2013,3,1,469,1.78,1.39,1.1,0.3
236,Splatoon,1/1/2015,27,9,469,1.55,1.15,1.44,0.43
237,The Last of Us,1/1/2014,19,1,565,1.78,1.87,0.07,0.82
238,Guitar Hero III: Legends of Rock,1/1/2007,29,4,117,3.19,0.92,0.01,0.42
239,Madden NFL 2005,1/1/2004,17,11,239,4.18,0.26,0.01,0.08
240,Pitfall!,1/1/1981,1,5,117,4.21,0.24,0,0.05
241,Madden NFL 07,1/1/2006,17,11,239,3.63,0.24,0.01,0.61
242,Spider-Man: The Movie,1/1/2002,17,1,117,2.71,1.51,0.03,0.23
243,Dragon Quest VII: Warriors of Eden,1/1/2000,16,8,245,0.2,0.14,4.1,0.02
244,Uncharted: The Nathan Drake Collection,1/1/2015,19,1,565,1.96,1.69,0.08,0.74
245,Call of Duty: Advanced Warfare,1/1/2014,18,9,117,1.54,1.94,0.19,0.77
246,God of War,1/1/2005,17,1,565,2.71,1.29,0.02,0.43
247,Nintendo Land,1/1/2012,27,4,469,2.55,1.11,0.46,0.33
248,Michael Jackson: The Experience,1/1/2010,26,4,633,2.67,1.35,0.01,0.39
249,Tony Hawk's Pro Skater 3,1/1/2001,17,11,117,2.66,1.29,0.01,0.46
250,Winning Eleven: Pro Evolution Soccer 2007,1/1/2006,17,11,382,0.1,2.39,1.05,0.86
251,The Elder Scrolls IV: Oblivion,1/1/2006,29,8,599,2.82,1.05,0.13,0.4
252,Zelda II: The Adventure of Link,1/1/1987,12,2,469,2.19,0.5,1.61,0.08
253,Need for Speed: Most Wanted,1/1/2005,17,7,239,2.03,1.79,0.08,0.47
254,Resistance: Fall of Man,1/1/2006,18,9,565,1.73,1.73,0.14,0.75
255,Sonic the Hedgehog,1/1/1991,9,5,553,3.03,0.91,0.26,0.13
256,Kingdom Hearts II,1/1/2005,17,8,575,2.2,0.58,1.38,0.17
257,FIFA 14,1/1/2013,29,11,239,0.92,2.93,0.01,0.46
258,Call of Duty: Advanced Warfare,1/1/2014,29,9,117,2.75,1.18,0,0.37
259,Asteroids,1/1/1980,1,9,154,4,0.26,0,0.05
260,Fable II,1/1/2008,29,8,428,2.51,1.27,0.11,0.41
261,Halo 5: Guardians,1/1/2015,31,9,428,2.64,1.2,0.03,0.39
262,Super Mario 3D World,1/1/2013,27,5,469,2.11,1.11,0.72,0.3
263,Batman: Arkham Asylum,1/1/2009,18,1,238,2.23,1.34,0.07,0.61
264,Assassin's Creed: Revelations,1/1/2011,18,1,633,1.41,2.02,0.1,0.72
265,Namco Museum,1/1/2001,7,4,452,3,1.11,0.05,0.07
266,Metal Gear Solid 3: Snake Eater,1/1/2004,17,1,382,1.46,0,0.83,1.93
267,Daxter,1/1/2006,20,5,565,2.45,1.02,0,0.75
268,Warcraft II: Tides of Darkness,1/1/1995,14,12,117,1.7,2.27,0,0.23
269,The Legend of Zelda: Ocarina of Time,1/1/2011,3,1,469,2.03,1.27,0.62,0.3
270,FIFA Soccer 06,1/1/2005,17,11,239,0.78,2.55,0.04,0.84
271,EyeToy Play,1/1/2003,17,4,565,0.88,2.3,0.2,0.83
272,Uncharted 4: A Thief's End,1/1/2016,19,9,565,1.3,2.07,0.18,0.65
273,Gran Turismo 5 Prologue,1/1/2007,18,7,565,1.28,1.83,0.57,0.53
274,Assassin's Creed: Revelations,1/1/2011,29,1,633,2.25,1.47,0.04,0.43
275,Street Fighter IV,1/1/2009,18,3,182,2.02,1.06,0.58,0.53
276,FIFA 12,1/1/2011,29,11,239,0.84,2.79,0.02,0.53
277,Teenage Mutant Ninja Turtles,1/1/1989,12,1,493,3.38,0.44,0.31,0.04
278,Excitebike,1/1/1984,12,7,469,2.04,0.48,1.57,0.07
279,Frogger,1/1/1997,16,1,317,3.79,0.27,0,0.11
280,Madden NFL 2003,1/1/2002,17,11,239,3.36,0.21,0.01,0.56
281,Watch Dogs,1/1/2014,19,1,633,1.4,1.86,0.11,0.77
282,Half-Life,1/1/1997,14,9,656,4.03,0,0.09,0
283,Super Mario World 2: Yoshi's Island,1/1/1995,24,5,469,1.65,0.61,1.76,0.09
284,FIFA Soccer 07,1/1/2006,17,11,239,0.71,2.48,0.03,0.89
285,The Legend of Zelda: Skyward Sword,1/1/2011,26,1,469,2.14,1.2,0.37,0.4
286,Street Fighter II Turbo,1/1/1992,24,3,182,1.42,0.51,2.1,0.07
287,Carnival Games,1/1/2007,26,4,599,2.13,1.5,0.05,0.42
288,Fallout 4,1/1/2015,31,8,165,2.45,1.26,0.01,0.37
289,World of Warcraft: The Burning Crusade,1/1/2007,14,8,117,2.57,1.52,0,0
290,Fallout: New Vegas,1/1/2010,29,8,165,2.65,1.06,0.04,0.33
291,God of War II,1/1/2007,17,1,565,2.32,0.04,0.04,1.67
292,Forza Motorsport 2,1/1/2007,29,7,428,2.35,1.28,0.03,0.41
293,World Soccer Winning Eleven 9,1/1/2005,17,11,382,0.12,2.26,0.9,0.77
294,Namco Museum Vol.3,1/1/1996,16,4,565,2.28,1.55,0.16,0.06
295,Tekken Tag Tournament,1/1/2000,17,3,452,1.68,1.51,0.51,0.35
296,Far Cry 4,1/1/2014,19,9,633,1.12,2.12,0.1,0.69
297,Star Fox 64,1/1/1997,11,9,469,2.78,0.58,0.64,0.04
298,Minecraft,1/1/2014,19,4,567,1.38,1.87,0.12,0.65
299,Golf,1/1/1984,12,11,469,1.22,0.28,2.46,0.04
300,Fallout 3,1/1/2008,18,8,165,2.15,1.2,0.07,0.59
301,Professor Layton and the Diabolical Box,1/1/2007,5,6,469,0.92,1.78,0.92,0.37
302,Left 4 Dead 2,1/1/2009,29,9,239,2.67,0.89,0.05,0.37
303,Namco Museum: 50th Anniversary,1/1/2005,17,4,452,2.08,1.35,0,0.54
304,EA Sports Active,1/1/2009,26,11,239,2.1,1.36,0.06,0.4
305,Assassin's Creed: Unity,1/1/2014,19,1,633,1.18,1.96,0.08,0.7
306,Donkey Kong Land,1/1/1994,6,5,469,1.97,0.76,1.07,0.11
307,Tony Hawk's Underground,1/1/2003,17,11,117,2.29,1.17,0.01,0.42
308,Assassin's Creed IV: Black Flag,1/1/2013,18,1,633,1.33,1.71,0.13,0.73
309,Monster Hunter 4 Ultimate,1/1/2014,3,8,469,0.67,0.49,2.62,0.11
310,MotorStorm,1/1/2006,18,7,565,1.53,1.61,0.06,0.67
311,The Elder Scrolls V: Skyrim,1/1/2011,14,8,165,1.15,2.09,0,0.64
312,Tekken 5,1/1/2005,17,3,452,0.93,1.94,0.31,0.7
313,Dragon Warrior III,1/1/1988,12,8,245,0.1,0,3.77,0
314,Sports Champions,1/1/2010,18,11,565,2.12,1.14,0.1,0.51
315,NBA 2K16,1/1/2015,19,11,599,2.48,0.65,0.03,0.69
316,World Soccer Winning Eleven 8 International,1/1/2004,17,11,382,0.16,1.89,1.12,0.68
317,Flash Focus: Vision Training in Minutes a Day,1/1/2007,5,4,469,0.87,1.57,1.05,0.35
318,Namco Museum Vol.1,1/1/1995,16,4,565,2.12,1.44,0.22,0.06
319,The Legend of Zelda: Link's Awakening,1/1/1992,6,1,469,2.21,0.96,0.54,0.13
320,Mario & Luigi: Bowser's Inside Story,1/1/2009,5,8,469,2.26,0.48,0.81,0.27
321,Big Brain Academy: Wii Degree,1/1/2007,26,4,469,1.06,1.93,0.41,0.43
322,Nintendogs + cats,1/1/2011,3,10,469,1.44,1.37,0.73,0.27
323,Batman: Arkham Knight,1/1/2015,19,1,660,1.49,1.58,0.1,0.61
324,Mario & Sonic at the London 2012 Olympic Games,1/1/2011,26,11,553,1.14,1.91,0.27,0.46
